0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,2025-01-30 22:26:03.383951,TSLA,396.56,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 22:28:42.826583,TSLA,396.07,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 22:31:12.135841,TSLA,397.04,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 22:34:17.138554,TSLA,398.48,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 22:36:17.302890,TSLA,398.09,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 22:37:37.111181,TSLA,397.99,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 22:40:31.501744,TSLA,398.77,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 22:42:17.018551,TSLA,398.42,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 22:43:10.355438,TSLA,398.83,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 22:45:57.175496,TSLA,398.40,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 22:47:34.101620,TSLA,398.67,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 22:49:05.024563,TSLA,398.93,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 22:51:25.217197,TSLA,398.60,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 22:54:15.124370,TSLA,398.40,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 22:59:13.062455,TSLA,400.47,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 23:03:48.634055,TSLA,398.90,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 23:08:28.377434,TSLA,397.78,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 23:10:30.619624,TSLA,398.07,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 23:19:04.434464,TSLA,397.55,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:28:47.450393,TSLA,402.21,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:28:51.456217,TSLA,404.84,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:28:56.421833,TSLA,404.34,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:29:04.684915,TSLA,402.21,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:29:07.439785,TSLA,402.35,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:29:15.699514,TSLA,401.79,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:29:35.001050,TSLA,402.51,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:29:40.762344,TSLA,403.29,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:29:54.786928,TSLA,403.11,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:30:30.597988,TSLA,402.27,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:30:56.645579,TSLA,401.80,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:31:17.907013,TSLA,401.24,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:32:30.904422,TSLA,402.57,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:32:48.183001,TSLA,402.99,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:35:10.892929,TSLA,404.03,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:35:37.181943,TSLA,404.25,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:35:49.199210,TSLA,401.99,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:35:58.223379,TSLA,401.42,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:36:09.491426,TSLA,400.80,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:36:25.298713,TSLA,400.36,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:36:46.799983,TSLA,400.81,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:37:04.825008,TSLA,401.51,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:38:18.514577,TSLA,403.25,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:38:52.058920,TSLA,401.54,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:39:23.849805,TSLA,402.21,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:40:34.704158,TSLA,403.00,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:40:50.727257,TSLA,403.07,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:41:43.174060,TSLA,403.10,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:42:24.734357,TSLA,402.02,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:42:43.266990,TSLA,402.53,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:43:31.839799,TSLA,400.58,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:45:41.525450,TSLA,401.48,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:46:08.318917,TSLA,402.05,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:46:30.851117,TSLA,402.50,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:47:12.164359,TSLA,401.53,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:47:15.459103,TSLA,401.57,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:47:15.918317,TSLA,402.50,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 03:47:48.968641,TSLA,402.15,,1,MARKET,SHORT,,,,,,,,,
,,,2025-01-30 21:50:15.727885,COIN,304.56,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 21:53:29.415823,COIN,304.00,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 21:56:10.968678,COIN,302.90,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 21:56:31.247097,COIN,302.46,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:00:07.077367,COIN,302.38,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:02:44.139949,COIN,302.41,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:04:46.336098,COIN,303.41,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:05:24.420077,COIN,303.60,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:06:17.795254,COIN,303.49,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:07:04.544030,COIN,303.58,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:09:00.511425,COIN,304.00,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:12:01.629100,COIN,304.10,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:14:15.868282,COIN,303.89,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:15:20.262137,COIN,303.48,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:17:13.646535,COIN,303.47,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:18:57.035745,COIN,303.57,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:19:37.871414,COIN,304.20,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:21:16.474949,COIN,303.94,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:25:06.180593,COIN,305.49,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:27:25.856936,COIN,305.32,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:28:07.752841,COIN,305.10,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:28:46.582041,COIN,304.86,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:31:14.094562,COIN,304.91,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:31:57.506907,COIN,304.75,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:33:51.772864,COIN,304.44,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:36:08.287081,COIN,304.61,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:36:40.350011,COIN,304.60,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:38:19.022593,COIN,304.06,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:45:51.664554,COIN,304.63,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:47:37.862187,COIN,304.61,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:49:37.841989,COIN,304.82,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:50:48.478685,COIN,304.49,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:51:40.998124,COIN,304.57,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:53:13.064401,COIN,304.14,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:54:34.161329,COIN,304.21,,1,MARKET,LONG,,,,,,,,,
,,,2025-01-30 22:56:05.692842,COIN,304.02,,1,MARKET,LONG,,,,,,,,,
