trade_id,bot_id,algo_id,ticker,entry_price,exit_price,entry_time,exit_time,entry_trigger_price,exit_trigger_price,entry_trigger_time,exit_trigger_time,trade_size,trade_direction,trade_pnl,trade_status
57,4,,TSLA,343.86,344.11,2025-02-11 21:21:42.813352,2025-02-11 21:22:58.586519,,344.11,,2025-02-11 21:22:58.586519,10000.00,SHORT,-0.25,closed
58,3,,COIN,276.39,276.03,2025-02-11 21:21:53.818954,2025-02-11 21:24:46.020196,,276.03,,2025-02-11 21:24:46.020196,10000.00,LONG,-0.36,closed
59,3,,TSLA,343.97,343.95,2025-02-11 21:22:36.787365,2025-02-11 21:25:06.033878,,343.95,,2025-02-11 21:25:06.033878,10000.00,LONG,-200.00,closed
60,2,,COIN,276.30,276.17,2025-02-11 21:22:53.583369,2025-02-11 21:25:46.158727,,276.17,,2025-02-11 21:25:46.158727,10000.00,SHORT,0.13,closed
61,4,,TSLA,343.97,344.66,2025-02-11 21:23:42.271578,2025-02-11 21:24:13.520130,,344.66,,2025-02-11 21:24:13.520130,10000.00,SHORT,-0.69,closed
62,2,,COIN,276.12,276.12,2025-02-11 21:23:53.292922,2025-02-11 21:25:52.157211,,276.12,,2025-02-11 21:25:52.157211,10000.00,SHORT,0.00,closed
63,4,,TSLA,344.20,344.14,2025-02-11 21:24:22.725101,2025-02-11 21:26:11.938277,,344.14,,2025-02-11 21:26:11.938277,10000.00,SHORT,0.06,closed
64,3,,COIN,276.31,275.67,2025-02-11 21:24:47.001546,2025-02-11 21:24:55.267640,,275.67,,2025-02-11 21:24:55.267640,10000.00,LONG,-0.64,closed
65,2,,COIN,275.81,275.84,2025-02-11 21:25:47.153067,2025-02-11 21:29:35.758380,,275.84,,2025-02-11 21:29:35.758380,10000.00,SHORT,-0.03,closed
66,3,,COIN,275.82,275.54,2025-02-11 21:25:57.916031,2025-02-11 21:27:03.769764,,275.54,,2025-02-11 21:27:03.769764,10000.00,LONG,-0.28,closed
67,2,,COIN,275.76,275.82,2025-02-11 21:26:04.927012,2025-02-11 21:29:33.250526,,275.82,,2025-02-11 21:29:33.250526,10000.00,SHORT,-0.06,closed
68,3,,TSLA,343.98,343.52,2025-02-11 21:26:10.699863,2025-02-11 21:26:51.253255,,343.52,,2025-02-11 21:26:51.253255,10000.00,LONG,-4600.00,closed
69,4,,TSLA,343.67,344.03,2025-02-11 21:26:20.955082,2025-02-11 21:28:15.423868,,344.03,,2025-02-11 21:28:15.423868,10000.00,SHORT,-0.36,closed
70,3,,TSLA,343.95,343.33,2025-02-11 21:26:59.268992,2025-02-11 21:27:54.857548,,343.33,,2025-02-11 21:27:54.857548,10000.00,LONG,-6200.00,closed
71,3,,COIN,275.91,275.28,2025-02-11 21:27:04.792978,2025-02-11 21:28:04.123809,,275.28,,2025-02-11 21:28:04.123809,10000.00,LONG,-0.63,closed
72,3,,TSLA,343.82,343.83,2025-02-11 21:27:59.863172,2025-02-11 21:29:53.289663,,343.83,,2025-02-11 21:29:53.289663,10000.00,LONG,100.00,closed
73,4,,TSLA,343.91,344.54,2025-02-11 21:28:35.177301,2025-02-11 21:29:10.958175,,344.54,,2025-02-11 21:29:10.958175,10000.00,SHORT,-0.63,closed
74,3,,COIN,275.63,275.30,2025-02-11 21:28:45.984441,2025-02-11 21:30:00.799693,,275.30,,2025-02-11 21:30:00.799693,10000.00,LONG,-0.33,closed
75,4,,TSLA,343.91,344.56,2025-02-11 21:29:34.275384,2025-02-11 21:31:08.406116,,344.56,,2025-02-11 21:31:08.406116,10000.00,SHORT,-0.65,closed
76,2,,COIN,275.39,275.90,2025-02-11 21:29:37.759962,2025-02-11 21:30:23.089570,,275.90,,2025-02-11 21:30:23.089570,10000.00,SHORT,-0.51,closed
